hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
16,0.85,200,0.005,population,30,6,3,0.25,0.0001,0.6293103448275862,0.6293103448275863,0.6132212195788898,0.6132212195788898,116,29,snnTorch,107,tonic,2,6
8,0.85,200,0.005,population,30,6,3,0.25,0.0001,0.6120689655172413,0.6120689655172414,0.5983302991361462,0.5983302991361463,116,29,snnTorch,26,tonic,2,6
16,0.85,200,0.005,population,30,10,3,0.25,0.0001,0.6120689655172413,0.6120689655172413,0.598055972013993,0.598055972013993,116,29,snnTorch,108,tonic,2,6
16,0.85,200,0.001,population,30,10,3,0.25,0.0001,0.6120689655172413,0.6120689655172413,0.5927003007929997,0.5927003007929997,116,29,snnTorch,105,tonic,2,6
8,0.9,200,0.005,population,30,6,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.589436986263711,0.5894369862637111,116,29,snnTorch,53,tonic,2,6
16,0.85,200,0.005,population,30,4,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5797980703839054,0.5797980703839054,116,29,snnTorch,106,tonic,2,6
8,0.9,200,0.005,population,30,10,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5758496375780071,0.5758496375780072,116,29,snnTorch,54,tonic,2,6
16,0.85,100,0.005,population,30,10,3,0.25,0.0001,0.5862068965517241,0.5862068965517242,0.5698042932605691,0.5698042932605693,116,29,snnTorch,99,tonic,2,6
8,0.85,200,0.005,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965518,0.5607593146886534,0.5607593146886534,116,29,snnTorch,27,tonic,2,6
8,0.85,100,0.005,population,30,10,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5609649122807018,0.5609649122807018,116,29,snnTorch,18,tonic,2,6
8,0.95,200,0.005,population,30,6,3,0.25,0.0001,0.5775862068965517,0.5775862068965517,0.5525957219851785,0.5525957219851786,116,29,snnTorch,80,tonic,2,6
16,0.85,100,0.005,population,30,6,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.5485574457509516,0.5485574457509516,116,29,snnTorch,98,tonic,2,6
8,0.95,200,0.005,population,30,4,3,0.25,0.0001,0.5689655172413793,0.5689655172413793,0.531593079361234,0.5315930793612339,116,29,snnTorch,79,tonic,2,6
8,0.95,200,0.005,population,30,10,3,0.25,0.0001,0.5689655172413793,0.5689655172413792,0.5485659565657063,0.5485659565657063,116,29,snnTorch,81,tonic,2,6
16,0.85,100,0.005,population,30,4,3,0.25,0.0001,0.5603448275862069,0.5603448275862069,0.5484469234469235,0.5484469234469235,116,29,snnTorch,97,tonic,2,6
16,0.9,100,0.005,population,30,6,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5316817289529242,0.5316817289529242,116,29,snnTorch,125,tonic,2,6
8,0.9,100,0.005,population,30,10,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.5275160653448782,0.5275160653448782,116,29,snnTorch,45,tonic,2,6
8,0.85,100,0.005,population,30,6,3,0.25,0.0001,0.5517241379310345,0.5517241379310345,0.52526286966046,0.52526286966046,116,29,snnTorch,17,tonic,2,6
8,0.9,200,0.005,population,30,4,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5163548708997983,0.5163548708997981,116,29,snnTorch,52,tonic,2,6
8,0.95,100,0.005,population,30,10,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5116666666666667,0.5116666666666667,116,29,snnTorch,72,tonic,2,6
8,0.85,200,0.005,population,30,4,3,0.25,0.0001,0.5344827586206896,0.5344827586206896,0.515447601243546,0.5154476012435459,116,29,snnTorch,25,tonic,2,6
16,0.9,100,0.005,population,30,4,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.5072323525856327,0.5072323525856328,116,29,snnTorch,124,tonic,2,6
16,0.85,200,0.001,population,30,4,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.49793148028442147,0.49793148028442147,116,29,snnTorch,103,tonic,2,6
16,0.85,50,0.005,population,30,10,3,0.25,0.0001,0.5172413793103449,0.5172413793103448,0.5068167126990657,0.5068167126990656,116,29,snnTorch,90,tonic,2,6
8,0.95,100,0.005,population,30,6,3,0.25,0.0001,0.5172413793103449,0.5172413793103448,0.4608480075200364,0.46084800752003635,116,29,snnTorch,71,tonic,2,6
16,0.85,200,0.001,population,30,6,3,0.25,0.0001,0.5086206896551724,0.5086206896551724,0.4904792560398968,0.49047925603989684,116,29,snnTorch,104,tonic,2,6
16,0.85,50,0.005,population,30,6,3,0.25,0.0001,0.5,0.5,0.46707815243487294,0.467078152434873,116,29,snnTorch,89,tonic,2,6
8,0.9,100,0.005,population,30,4,3,0.25,0.0001,0.5,0.5,0.4631104851514686,0.4631104851514686,116,29,snnTorch,43,tonic,2,6
8,0.9,100,0.005,population,30,6,3,0.25,0.0001,0.49137931034482757,0.4913793103448276,0.47017785737297935,0.47017785737297935,116,29,snnTorch,44,tonic,2,6
